Jogador,Karim Benzema,Casemiro,Sergio Ramos,Thibaut Courtois,Raphaël Varane,Dani Carvajal,Toni Kroos,Luka Modrić,Federico Valverde,Ferland Mendy,Marcelo,Isco,Eden Hazard,Vinicius Júnior,Gareth Bale,Rodrygo,Éder Militão,Lucas Vázquez,James Rodríguez,Nacho,Luka Jović,Alphonse Areola,Álvaro Odriozola,Marco Asensio,Brahim Díaz,Mariano,Altube,Miguel Gutiérrez
Marcelo,0.9789512959684392,0.9694994234778337,0.9417738798698202,0.6828700062669415,0.9239471343653568,0.9962492443130962,0.9884359097788105,0.994657475072431,0.9917068168176686,0.9970390393631543,0.9999999999999999,0.9952550993009873,0.9836769258211597,0.9506132972716157,0.989445697110735,0.9852428721800268,0.9271214012296788,0.9983088514758296,0.9946791396528017,0.9875951779833159,0.9798200306502758,0.7079208111852795,0.9932288934603988,0.9938973003580523,0.9784209696910223,0.9262296662714885,0.9929766179346482,0.9784624923535643
Isco,0.9772904444077701,0.9750384737278001,0.9305680161089599,0.6297961549608084,0.9074808587265852,0.987584019698709,0.9959868322342057,0.9991066865009646,0.9977490813111816,0.9904303548260952,0.9952550993009873,0.9999999999999999,0.9804863174020512,0.944923556139362,0.9873464520138544,0.9842505675729322,0.9107548408422453,0.9969150918884208,0.9982688720384936,0.9802479600308992,0.9907876380253487,0.6557906059634089,0.9815191905464882,0.9901289456990474,0.9902955483836413,0.9271350685025017,0.9868606204842175,0.9689594641531362
Eden Hazard,0.9991844937582143,0.9187049245678028,0.8716775645355864,0.5993314372253697,0.8477939313625311,0.9673297685585954,0.9597654028700237,0.9729935181649619,0.9664345163848861,0.9690811530308235,0.9836769258211597,0.9804863174020512,1.0,0.9886382972505655,0.9960204088040467,0.9992048639721153,0.8520927037911068,0.9833949985583514,0.9845586724223607,0.9468856318596476,0.9837710591443334,0.6244266816837027,0.9657849838236777,0.997202765456767,0.9734814606164268,0.9677728522026333,0.9586306603724316,0.9320592603369174
Vinicius Júnior,0.99127872113781,0.8655599676207687,0.811475828697993,0.5555219574968601,0.7877202103410533,0.9283631679507054,0.9129767358446984,0.9332344369084791,0.9245023785075046,0.93055107139549,0.9506132972716157,0.944923556139362,0.9886382972505655,1.0,0.9812897262815994,0.9864972431262208,0.7927268183140687,0.9533765454038592,0.9539600241513434,0.9030377383108434,0.9631944726779929,0.5778353416994836,0.930702571433663,0.9774319608229313,0.9501989995221823,0.9886948816852632,0.9171929435656779,0.8889153614114221
Gareth Bale,0.9943450518925722,0.9386941215153191,0.8897512409280062,0.6155536518983479,0.8679861764864353,0.975322088694379,0.9696319197079524,0.9817227256226381,0.9767323522657501,0.9775593628967871,0.989445697110735,0.9873464520138544,0.9960204088040467,0.9812897262815994,0.9999999999999999,0.9974330030388889,0.8721894656038794,0.9916392448454547,0.9926694423724517,0.9605941804088298,0.9897926327583524,0.6388903050966067,0.9728830022991823,0.9975686955781459,0.9834010177606538,0.9650226516173384,0.9693185282820391,0.9493753356728378
Rodrygo,0.9985343737646112,0.9264788955755812,0.8759520075718356,0.594290971064057,0.8515780580880368,0.9690593913397147,0.9649516032706601,0.977165040129958,0.9717290982966703,0.9714598911389808,0.9852428721800268,0.9842505675729322,0.9992048639721153,0.9864972431262208,0.9974330030388889,1.0,0.8558743335311396,0.986410941960676,0.9879099450759388,0.9507511672227105,0.9887889428245441,0.6192133933346246,0.9667533966215963,0.9976780354812914,0.980435368880623,0.969131538598943,0.9615699627172252,0.9361345556141237
Éder Militão,0.8420210562404982,0.9627596518273358,0.997778148017771,0.834441112929626,0.9999121274428389,0.9549125285277386,0.9283105110419341,0.9242599123010878,0.9279090394955455,0.9524242850117027,0.9271214012296788,0.9107548408422453,0.8520927037911068,0.7927268183140687,0.8721894656038794,0.8558743335311396,1.0,0.9226178793238378,0.8995657250128549,0.9709024905971871,0.8594152609634453,0.8558197191393564,0.9568608783923669,0.8850829240460614,0.8796179841785562,0.7706209669496255,0.9628201728808673,0.978579768824624
Lucas Vázquez,0.9795193537824004,0.9734326962926595,0.9379653419178049,0.6605574967886424,0.9193328253945238,0.9933509410709472,0.9899526835733896,0.9962368686143739,0.9940562906483926,0.9951932799199513,0.9983088514758296,0.9969150918884208,0.9833949985583514,0.9533765454038592,0.9916392448454547,0.986410941960676,0.9226178793238378,0.9999999999999999,0.9972912845125543,0.9860066664906995,0.9863945381037018,0.6853605378383322,0.9901584546431177,0.9934705960848067,0.987042912399043,0.9357554251425856,0.9912615642183745,0.977572456932831
James Rodríguez,0.9812325037911719,0.9676265432177226,0.9185686581921697,0.61966181492866,0.8958457552981357,0.9845915714720355,0.9906731521755716,0.9963174643163468,0.9939163438046086,0.9874008631592406,0.9946791396528017,0.9982688720384936,0.9845586724223607,0.9539600241513434,0.9926694423724517,0.9879099450759388,0.8995657250128549,0.9972912845125543,1.0000000000000002,0.9755406715036579,0.9924925085740279,0.6446853842995042,0.9789254041162015,0.9926684171018549,0.9901138036750219,0.9357657398649195,0.9823939465423072,0.9646007757629668
Nacho,0.9408395253162539,0.9880314037919821,0.9798307928475856,0.7580037898022899,0.9686410834555034,0.9952957176391767,0.9836599446734766,0.9854960402550833,0.9862719480818201,0.9957421155300382,0.9875951779833159,0.9802479600308992,0.9468856318596476,0.9030377383108434,0.9605941804088298,0.9507511672227105,0.9709024905971871,0.9860066664906995,0.9755406715036579,0.9999999999999999,0.9535656544997142,0.7802695721345295,0.994522572755247,0.9668906060100598,0.9616562058733351,0.8830233708960689,0.9988140612490896,0.9980413968180687
Luka Jović,0.9845423883823406,0.9508061075805829,0.8835437722521913,0.5616756737325657,0.85532691801021,0.9628326498088853,0.9796416103066017,0.9861392233706094,0.9844714477879907,0.9680637250183581,0.9798200306502758,0.9907876380253487,0.9837710591443334,0.9631944726779929,0.9897926327583524,0.9887889428245441,0.8594152609634453,0.9863945381037018,0.9924925085740279,0.9535656544997142,1.0,0.5856653786232143,0.9572568874930063,0.9863933747319273,0.9969494379851657,0.9581318954083227,0.9625866433512076,0.940565446645419
Alphonse Areola,0.614935826248011,0.7214368324979905,0.832723920634459,0.9985725369234074,0.8561976233684729,0.7505231717007967,0.6682604058015204,0.6716173296084079,0.6730044458263644,0.7410225241144622,0.7079208111852795,0.6557906059634089,0.6244266816837027,0.5778353416994836,0.6388903050966067,0.6192133933346246,0.8558197191393564,0.6853605378383322,0.6446853842995042,0.7802695721345295,0.5856653786232143,1.0,0.7679447220953423,0.6577836299543152,0.6013502302498017,0.5382765927201499,0.7619712129586331,0.8028153303456447
Álvaro Odriozola,0.959554642562163,0.971739949329402,0.9654163507045178,0.7438573692653757,0.9543464676575016,0.9981861420755697,0.9778979986932069,0.984349203099321,0.982048337996524,0.9977103151579522,0.9932288934603988,0.9815191905464882,0.9657849838236777,0.930702571433663,0.9728830022991823,0.9667533966215963,0.9568608783923669,0.9901584546431177,0.9789254041162015,0.994522572755247,0.9572568874930063,0.7679447220953423,1.0,0.9805608939798361,0.9603929958270462,0.9053272550443172,0.9964118928498272,0.9898737304207165
Marco Asensio,0.9947604047220066,0.9427463856319013,0.9025982707534785,0.632591736241119,0.8811355927038729,0.9825466233134729,0.974774943522575,0.9854193324927822,0.9803886519697317,0.9840320724592702,0.9938973003580523,0.9901289456990474,0.997202765456767,0.9774319608229313,0.9975686955781459,0.9976780354812914,0.8850829240460614,0.9934705960848067,0.9926684171018549,0.9668906060100598,0.9863933747319273,0.6577836299543152,0.9805608939798361,1.0,0.9797681966653359,0.9557831208169905,0.9758083546979734,0.9541794789711749
Brahim Díaz,0.9741655868294008,0.9647308439196978,0.9019783070749418,0.577629765923513,0.8759713200923358,0.9659678795560973,0.983242736857131,0.9876348717994154,0.9880249305744909,0.9714786756996314,0.9784209696910223,0.9902955483836413,0.9734814606164268,0.9501989995221823,0.9834010177606538,0.980435368880623,0.8796179841785562,0.987042912399043,0.9901138036750219,0.9616562058733351,0.9969494379851657,0.6013502302498017,0.9603929958270462,0.9797681966653359,0.9999999999999997,0.9511081925089323,0.968479374217569,0.9515425079650475
Mariano,0.9746053741956591,0.8562320865627254,0.7907975838756203,0.5184671304337739,0.7658596705181038,0.9026473607676515,0.8951672412241122,0.9150285641779358,0.9088309010755017,0.9072056816601551,0.9262296662714885,0.9271350685025017,0.9677728522026333,0.9886948816852632,0.9650226516173384,0.969131538598943,0.7706209669496255,0.9357554251425856,0.9357657398649195,0.8830233708960689,0.9581318954083227,0.5382765927201499,0.9053272550443172,0.9557831208169905,0.9511081925089323,0.9999999999999999,0.8963891054909938,0.8721186039632446
Altube,0.9532518425424013,0.9862946413962672,0.9737786624256006,0.7383952736841943,0.9604628599099819,0.9979872710294789,0.9882103711023814,0.9906254609528916,0.9904127827899709,0.9984869499836653,0.9929766179346482,0.9868606204842175,0.9586306603724316,0.9171929435656779,0.9693185282820391,0.9615699627172252,0.9628201728808673,0.9912615642183745,0.9823939465423072,0.9988140612490896,0.9625866433512076,0.7619712129586331,0.9964118928498272,0.9758083546979734,0.968479374217569,0.8963891054909938,0.9999999999999999,0.99490522020738
Miguel Gutiérrez,0.9259750589963838,0.9865070065223339,0.9845248783136304,0.7825801256218603,0.9765835487242104,0.9893192858656926,0.973650661428784,0.9755930702418097,0.9769685239905814,0.989477701751029,0.9784624923535643,0.9689594641531362,0.9320592603369174,0.8889153614114221,0.9493753356728378,0.9361345556141237,0.978579768824624,0.977572456932831,0.9646007757629668,0.9980413968180687,0.940565446645419,0.8028153303456447,0.9898737304207165,0.9541794789711749,0.9515425079650475,0.8721186039632446,0.99490522020738,1.0000000000000002
